"F0","base_word","count_trial_logger","response","response_time","speaker","stop_type","subject_nr","time_experiment","word_choice0_eng","word_choice1_eng","subj_gender","subj_age","subj_region","group","stop_response","stop_response2","word_status"
2,"dongmil",78,1,747,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
6,"dongmil",79,0,889,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
5,"tongmil",80,0,823,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
6,"dongmil",81,0,643,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
4,"domang",82,1,492,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
7,"tomang",83,0,843,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
4,"tongmil",84,0,1016,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
4,"tomang",85,0,804,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
1,"domang",86,1,1271,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
7,"tongmil",87,0,804,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
1,"dongmil",88,1,1042,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
2,"tongmil",89,1,673,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
4,"tomang",90,0,614,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
4,"tongmil",91,0,887,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
2,"tongmil",92,1,973,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
1,"tomang",93,0,643,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
5,"tongmil",94,1,721,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
6,"domang",95,1,625,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
5,"domang",96,0,746,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
3,"dongmil",97,1,1035,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
3,"domang",98,1,1228,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
1,"dongmil",99,1,677,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
7,"tongmil",100,0,848,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
3,"tomang",101,1,622,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","d","len","len_word"
6,"tongmil",102,0,1194,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
1,"tongmil",103,1,1562,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","d","len","asp_word"
5,"domang",104,0,935,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
2,"tomang",105,0,1284,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
5,"tomang",106,0,803,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
7,"dongmil",107,0,983,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
7,"domang",108,0,609,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
3,"tongmil",109,0,712,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
6,"tomang",110,0,642,"F1","td",16,5801,"tomang","domang","M",20,"SE","P","t","asp","len_word"
5,"dongmil",111,0,838,"F1","td",16,5801,"tongmil","dongmil","M",20,"SE","P","t","asp","asp_word"
7,"paneul",0,0,3468,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
1,"baneul",1,1,1552,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
6,"paneul",2,0,2490,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
7,"bama",3,0,1989,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
1,"bama",4,1,1195,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
2,"baneul",5,1,3697,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
4,"pama",6,0,3488,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
4,"bama",7,1,3512,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
2,"pama",8,1,1550,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
4,"paneul",9,1,13404,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
6,"baneul",10,0,1655,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
6,"bama",11,0,1308,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
6,"pama",12,0,1526,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
6,"baneul",13,0,1700,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
4,"bama",14,1,1682,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
1,"bama",15,1,1413,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
3,"paneul",16,1,1222,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
2,"paneul",17,1,898,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
7,"pama",18,0,1080,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
5,"bama",19,0,1422,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
2,"baneul",20,1,967,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
2,"bama",21,1,2119,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
2,"pama",22,1,3380,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
6,"paneul",23,0,986,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
5,"bama",24,0,1321,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
4,"baneul",25,0,3119,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
3,"bama",26,1,1151,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
5,"baneul",27,1,3850,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
3,"baneul",28,1,1091,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
3,"pama",29,1,2915,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
1,"paneul",30,1,862,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
4,"pama",31,0,1126,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
4,"baneul",32,1,1439,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
2,"bama",33,1,916,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
7,"pama",34,0,742,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
5,"baneul",35,0,1074,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
6,"bama",36,0,878,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
7,"paneul",37,0,1526,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
1,"pama",38,1,959,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
7,"baneul",39,0,1038,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
3,"pama",40,0,2954,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
5,"paneul",41,0,1058,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
1,"paneul",42,1,926,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
7,"baneul",43,0,1077,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
3,"bama",44,1,1061,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
5,"pama",45,0,1081,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
6,"pama",46,0,883,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
3,"baneul",47,1,905,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
5,"pama",48,0,1009,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
1,"baneul",49,1,1057,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
5,"paneul",50,0,1038,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
4,"paneul",51,0,1412,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","p","asp","len_word"
7,"bama",52,0,929,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","p","asp","asp_word"
1,"pama",53,1,1077,"M1","pb",17,4609,"pama","bama","M",20,"GG","P","b","len","asp_word"
3,"paneul",54,1,835,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
2,"paneul",55,1,758,"M1","pb",17,4609,"paneul","baneul","M",20,"GG","P","b","len","len_word"
4,"domang",56,1,2889,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
2,"tomang",57,1,34687,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
7,"tongmil",58,0,29553,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
3,"tongmil",59,0,2589,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
1,"tomang",60,1,1368,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
4,"tomang",61,0,1486,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
7,"domang",62,0,5998,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
5,"domang",63,0,3895,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
1,"domang",64,1,937,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
4,"tongmil",65,0,2912,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
1,"domang",66,1,2352,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
4,"dongmil",67,1,7254,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
7,"tongmil",68,0,1040,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
1,"tomang",69,1,958,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
5,"tomang",70,0,838,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
2,"dongmil",71,1,1293,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
5,"dongmil",72,0,1539,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
3,"tomang",73,1,2484,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
6,"dongmil",74,0,1066,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
3,"tomang",75,1,973,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
1,"dongmil",76,1,1079,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
3,"dongmil",77,1,1086,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
7,"tomang",78,0,927,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
3,"tongmil",79,0,2214,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
7,"tomang",80,0,849,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
2,"tongmil",81,1,1703,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
4,"tongmil",82,0,968,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
2,"dongmil",83,1,1517,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
1,"tongmil",84,1,993,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
7,"dongmil",85,0,1039,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
4,"tomang",86,0,929,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
4,"domang",87,1,960,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
2,"tomang",88,1,814,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
5,"tongmil",89,0,906,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
5,"dongmil",90,0,952,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
6,"domang",91,0,788,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
2,"tongmil",92,0,1325,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
4,"dongmil",93,0,1600,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
6,"tomang",94,0,804,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
3,"dongmil",95,1,1134,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
1,"dongmil",96,1,914,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
5,"tomang",97,0,884,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
6,"tongmil",98,0,902,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
3,"domang",99,1,1495,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
2,"domang",100,1,906,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
6,"tongmil",101,0,858,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
5,"tongmil",102,0,1091,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
7,"domang",103,0,1006,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
1,"tongmil",104,1,1328,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","d","len","asp_word"
2,"domang",105,1,782,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
7,"dongmil",106,0,862,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
6,"tomang",107,0,993,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
6,"dongmil",108,0,1179,"F1","td",17,4609,"tongmil","dongmil","M",20,"GG","P","t","asp","asp_word"
6,"domang",109,0,1371,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","t","asp","len_word"
3,"domang",110,1,1004,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
5,"domang",111,1,914,"F1","td",17,4609,"tomang","domang","M",20,"GG","P","d","len","len_word"
5,"baneul",0,1,915,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
3,"pama",1,0,935,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
5,"paneul",2,1,1141,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
3,"bama",3,0,1166,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
7,"paneul",4,0,1117,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","p","asp","len_word"
6,"bama",5,0,1119,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
2,"bama",6,1,1248,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","b","len","asp_word"
7,"pama",7,0,815,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
5,"bama",8,0,1211,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
2,"bama",9,1,943,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","b","len","asp_word"
5,"pama",10,0,869,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
4,"paneul",11,1,870,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
1,"paneul",12,1,973,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
4,"pama",13,0,866,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
7,"baneul",14,0,1408,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","p","asp","len_word"
7,"pama",15,0,803,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
2,"pama",16,0,852,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
6,"bama",17,0,961,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
6,"baneul",18,1,1127,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
6,"baneul",19,1,865,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
1,"bama",20,1,1023,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","b","len","asp_word"
3,"paneul",21,1,921,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
1,"baneul",22,1,1001,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
4,"bama",23,0,1075,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
5,"bama",24,0,1032,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
1,"pama",25,0,1119,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
3,"baneul",26,1,868,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
2,"paneul",27,1,858,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
2,"baneul",28,1,1167,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
4,"baneul",29,1,918,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","b","len","len_word"
3,"bama",30,0,2162,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
6,"paneul",31,0,1493,"M1","pb",18,3802,"paneul","baneul","F",20,"GN","P","p","asp","len_word"
7,"bama",32,0,907,"M1","pb",18,3802,"pama","bama","F",20,"GN","P","p","asp","asp_word"
